PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Summary,Ratio Activity,Ratio Potency (uM),Ratio Efficacy (%),530 nm Activity,530 nm Potency (uM),530 nm Efficacy (%),460 nm Activity,460 nm Potency (uM),460 nm Efficacy (%),Viability Activity,Viability Potency (uM),Viability Efficacy (%),Sample Source
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT,FLOAT,STRING,FLOAT,FLOAT,STRING,FLOAT,FLOAT,STRING,FLOAT,FLOAT,STRING
RESULT_DESCR,,,,,,,,Type of compound activity based on both the FXR antagonist mode screen and the cell viability counter screens.,Type of compound activity in the ratio readout of the FXR antagonist mode screen.,The concentration of sample yielding half-maximal inhibition in the ratio readout of the FXR antagonist mode screen.,Percent inhibition in the ratio readout of the FXR antagonist mode screen.,Type of compound activity in the 530 nm readout of the FXR antagonist mode screen.,The concentration of sample yielding half-maximal inhibition in the 530 nm readout of the FXR antagonist mode screen.,Percent inhibition in the 530 nm readout of the FXR antagonist mode screen.,Type of compound activity in the 460 nm readout of the FXR antagonist mode screen.,The concentration of sample yielding half-maximal inhibition in the 460 nm readout of the FXR antagonist mode screen.,Percent inhibition in the 460 nm readout of the FXR antagonist mode screen.,Type of compound activity in the cell viability counter screens.,The concentration of sample yielding half-maximal inhibition in the cell viability counter screen.,Percent inhibition in the cell viability counter screen.,Where sample was obtained.
RESULT_UNIT,,,,,,,,,,MICROMOLAR,PERCENT,,MICROMOLAR,PERCENT,,MICROMOLAR,PERCENT,,MICROMOLAR,PERCENT,
1,144205501,17931,CN1C(=S)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Specs
2,144206117,3045407,CO[C@H]1[C@@H](C[C@@H]2CN3CCC4=C([C@H]3C[C@@H]2[C@@H]1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)COC6=CC=C(C=C6)OC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Specs
3,144206325,14708,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C)O)CC[C@@H]4[C@@]3(CC5=NON=C5C4)C,Inconclusive,5,,,inconclusive,inconclusive antagonist,28.1774,-29.9796,inactive,,0,inactive,,0,inactive,,0,ACC
4,144206326,3085168,CC1=NC=C(C(=N1)N)CN(C=O)/C(=C(\CCO)/SS/C(=C(/C)\N(CC2=CN=C(N=C2N)C)C=O)/CCO)/C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,ACC
5,144206328,54158,CC1=CC(=C(C(=C1NC(=O)CN(CC(=O)O)CC(=O)O)C)Br)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,ACC
6,144206329,92140,CCCC(=O)OC[C@H]([C@H]([C@H](CN1C2=C(C=C(C(=C2)C)C)N=C3C1=NC(=O)NC3=O)OC(=O)CCC)OC(=O)CCC)OC(=O)CCC,Inconclusive,5,,,inconclusive,active antagonist,24.6358,-61.0342,active agonist,21.9567,76.7637,inconclusive agonist,,12.565,inactive,,0,ACC
7,144206330,6505,CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)OC(=O)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,ACC
8,144206333,54708862,C1=CC=C(C(=C1)C(=O)O)[O-].C1=CC=C(C(=C1)C(=O)O)[O-].O.O.O.O.[Mg+2],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,ACC
9,144206369,11956149,C[C@@H](C(=O)C1=CC=CC=C1)N.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,RTI
10,144206371,3058692,C[C@H]1[C@H](OC(=N1)N)C2=CC=CC=C2,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,RTI
